mandt,periv,bdatj,bumon,butag,poper,reljr,operation_flag,is_deleted,recordstamp
100,DL,,01,03,003,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,03,003,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,03,003,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,04,004,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,04,004,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,04,004,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,04,004,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,04,004,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,04,004,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,05,005,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,05,005,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,05,005,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,05,005,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,05,005,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,05,005,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,06,006,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,06,006,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,06,006,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,06,006,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,06,006,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,06,006,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,07,007,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,07,007,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,07,007,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,07,007,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,07,007,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,07,007,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,08,008,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,08,008,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,08,008,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,08,008,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,08,008,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,08,008,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,09,009,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,09,009,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,09,009,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,09,009,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,09,009,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,09,009,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,10,010,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,10,010,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,10,010,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,10,010,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,10,010,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,10,010,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,11,011,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,11,011,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,11,011,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,11,011,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,11,011,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,11,011,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,12,012,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,12,012,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,12,012,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,12,012,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,12,012,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,12,012,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,13,013,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,13,013,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,13,013,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,13,013,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,13,013,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,13,013,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,14,014,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,14,014,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,14,014,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,14,014,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,14,014,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,14,014,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,15,015,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,15,015,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,15,015,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,15,015,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,15,015,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,15,015,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,16,016,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,16,016,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,16,016,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,16,016,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,16,016,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,16,016,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,17,017,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,17,017,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,17,017,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,17,017,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,17,017,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,17,017,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,18,018,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,18,018,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,18,018,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,18,018,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,18,018,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,18,018,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,19,019,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,19,019,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,19,019,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,19,019,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,19,019,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,19,019,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,20,020,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,20,020,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,20,020,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,20,020,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,20,020,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,20,020,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,21,021,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,21,021,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,21,021,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,21,021,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,21,021,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,21,021,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,22,022,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,22,022,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,22,022,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,22,022,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,22,022,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,22,022,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,23,023,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,23,023,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,23,023,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,23,023,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,23,023,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,23,023,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,24,024,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,24,024,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,24,024,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,24,024,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,24,024,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,24,024,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,25,025,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,25,025,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,25,025,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,25,025,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,25,025,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,25,025,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,26,026,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,26,026,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,26,026,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,26,026,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,26,026,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,26,026,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,27,027,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,27,027,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,27,027,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,27,027,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,27,027,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,27,027,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,28,028,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,28,028,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,28,028,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,28,028,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,28,028,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,28,028,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,29,029,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,29,029,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,29,029,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,29,029,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,29,029,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,29,029,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,30,030,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,30,030,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,30,030,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,30,030,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,30,030,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,30,030,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,31,031,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,31,031,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,31,031,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,31,031,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,31,031,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,31,031,0,L,False,2022-01-31 20:43:46.193534+00:00
800,F1,0000,01,01,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,02,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,03,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,04,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,05,005,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,06,006,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,07,007,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,08,008,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,09,009,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,10,010,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,11,011,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,12,012,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,13,013,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,14,014,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,15,015,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,16,016,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,17,017,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,18,018,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,19,019,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,20,020,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,21,021,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,22,022,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,23,023,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,24,024,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,25,025,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,26,026,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,27,027,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,28,028,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,29,029,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,30,030,0,L,False,2021-12-23 14:58:49.850096+00:00
800,F1,0000,01,31,031,0,L,False,2021-12-23 14:58:49.850096+00:00
100,R1,1993,01,31,001,0,I,False,2022-04-21 15:05:23.395339+00:00
100,R1,1994,01,31,001,0,I,False,2022-04-21 15:05:23.395339+00:00
100,R1,1995,01,31,004,0,I,False,2022-04-21 15:05:23.395339+00:00
000,R1,1993,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
000,R1,1994,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
000,R1,1995,01,31,004,0,L,False,2022-01-31 20:43:46.193534+00:00
001,R1,1993,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
001,R1,1994,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
001,R1,1995,01,31,004,0,L,False,2022-01-31 20:43:46.193534+00:00
050,R1,1993,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
050,R1,1994,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
050,R1,1995,01,31,004,0,L,False,2022-01-31 20:43:46.193534+00:00
100,R1,1993,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
100,R1,1994,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
100,R1,1995,01,31,004,0,L,False,2022-01-31 20:43:46.193534+00:00
200,R1,1993,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
200,R1,1994,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
200,R1,1995,01,31,004,0,L,False,2022-01-31 20:43:46.193534+00:00
250,R1,1993,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
250,R1,1994,01,31,001,0,L,False,2022-01-31 20:43:46.193534+00:00
250,R1,1995,01,31,004,0,L,False,2022-01-31 20:43:46.193534+00:00
800,R1,1994,01,31,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,R1,1996,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,R1,1997,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,R1,1998,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,R1,1995,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2006,01,01,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1995,01,01,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2005,01,02,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2000,01,02,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1994,01,02,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2010,01,03,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1999,01,03,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2009,01,04,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2004,01,04,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1998,01,04,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2003,01,05,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1997,01,05,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2002,01,06,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2008,01,06,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1996,01,07,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2001,01,07,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2007,01,07,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2006,01,08,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1995,01,08,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2000,01,09,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2005,01,09,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1994,01,09,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2010,01,10,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1999,01,10,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2004,01,11,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1998,01,11,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2009,01,11,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2003,01,12,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1997,01,12,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2002,01,13,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2008,01,13,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2001,01,14,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2007,01,14,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1996,01,14,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1995,01,15,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2006,01,15,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1994,01,16,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2005,01,16,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2000,01,16,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2010,01,17,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1999,01,17,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1998,01,18,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2004,01,18,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2009,01,18,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2003,01,19,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1997,01,19,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2008,01,20,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2002,01,20,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2007,01,21,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2001,01,21,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1996,01,21,003,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1995,01,22,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2006,01,22,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1994,01,23,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2000,01,23,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2005,01,23,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,1999,01,24,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,UL,2010,01,24,004,0,L,False,2021-12-23 14:58:49.850096+00:00
